date,product,revenue,customer_id
2026-01-26 14:20:20.977264,Product A,214.9,189
2026-01-26 14:20:20.977264,Product B,145.85,122
2026-01-26 14:20:20.977264,Product C,108.37,150
2026-01-27 14:20:20.977264,Product A,230.32,88
2026-01-27 14:20:20.977264,Product B,135.92,21
2026-01-27 14:20:20.977264,Product C,116.28,58
2026-01-28 14:20:20.977264,Product A,121.62,59
2026-01-28 14:20:20.977264,Product B,178.51,188
2026-01-28 14:20:20.977264,Product C,78.9,51
2026-01-29 14:20:20.977264,Product A,135.81,64
2026-01-29 14:20:20.977264,Product B,184.03,73
2026-01-29 14:20:20.977264,Product C,96.86,132
2026-01-30 14:20:20.977264,Product A,202.85,90
2026-01-30 14:20:20.977264,Product B,169.94,84
2026-01-30 14:20:20.977264,Product C,123.38,8
2026-01-31 14:20:20.977264,Product A,417.42,81
2026-01-31 14:20:20.977264,Product B,174.68,134
2026-01-31 14:20:20.977264,Product C,63.37,4
2026-02-01 14:20:20.977264,Product A,206.56,190
2026-02-01 14:20:20.977264,Product B,176.45,82
2026-02-01 14:20:20.977264,Product C,170.22,188
2026-02-02 14:20:20.977264,Product A,232.13,41
2026-02-02 14:20:20.977264,Product B,37.41,88
2026-02-02 14:20:20.977264,Product C,84.6,136
2026-02-03 14:20:20.977264,Product A,230.93,5
2026-02-03 14:20:20.977264,Product B,177.94,41
2026-02-03 14:20:20.977264,Product C,73.11,62
2026-02-04 14:20:20.977264,Product A,196.64,99
2026-02-04 14:20:20.977264,Product B,102.78,101
2026-02-04 14:20:20.977264,Product C,119.14,131
2026-02-05 14:20:20.977264,Product A,210.84,103
2026-02-05 14:20:20.977264,Product B,58.84,15
2026-02-05 14:20:20.977264,Product C,95.48,96
2026-02-06 14:20:20.977264,Product A,171.03,52
2026-02-06 14:20:20.977264,Product B,203.83,143
2026-02-06 14:20:20.977264,Product C,117.42,36
2026-02-07 14:20:20.977264,Product A,204.07,28
2026-02-07 14:20:20.977264,Product B,168.24,45
2026-02-07 14:20:20.977264,Product C,81.69,108
2026-02-08 14:20:20.977264,Product A,190.52,30
2026-02-08 14:20:20.977264,Product B,139.68,190
2026-02-08 14:20:20.977264,Product C,122.52,121
2026-02-09 14:20:20.977264,Product A,159.52,155
2026-02-09 14:20:20.977264,Product B,119.43,165
2026-02-09 14:20:20.977264,Product C,67.11,59
2026-02-10 14:20:20.977264,Product A,227.45,96
2026-02-10 14:20:20.977264,Product B,87.25,186
2026-02-10 14:20:20.977264,Product C,137.91,39
2026-02-11 14:20:20.977264,Product A,142.44,81
2026-02-11 14:20:20.977264,Product B,149.2,2
2026-02-11 14:20:20.977264,Product C,80.22,129
2026-02-12 14:20:20.977264,Product A,200.12,130
2026-02-12 14:20:20.977264,Product B,75.04,68
2026-02-12 14:20:20.977264,Product C,144.41,184
2026-02-13 14:20:20.977264,Product A,223.73,116
2026-02-13 14:20:20.977264,Product B,122.72,139
2026-02-13 14:20:20.977264,Product C,115.37,187
2026-02-14 14:20:20.977264,Product A,216.3,93
2026-02-14 14:20:20.977264,Product B,137.51,90
2026-02-14 14:20:20.977264,Product C,125.73,147
2026-02-15 14:20:20.977264,Product A,178.39,168
